     count_list      y_history    x_0_history    x_1_history   dx_0_history   dx_1_history
            255    1.74508e-05    9.97046e-01    4.97046e-01    5.90777e-05    5.90777e-05
            256    1.67598e-05    9.97105e-01    4.97105e-01    5.78961e-05    5.78961e-05
            257    1.60961e-05    9.97163e-01    4.97163e-01    5.67382e-05    5.67382e-05
            258    1.54587e-05    9.97220e-01    4.97220e-01    5.56034e-05    5.56034e-05
            259    1.48465e-05    9.97275e-01    4.97275e-01    5.44913e-05    5.44913e-05
            260    1.42586e-05    9.97330e-01    4.97330e-01    5.34015e-05    5.34015e-05
            261    1.36940e-05    9.97383e-01    4.97383e-01    5.23335e-05    5.23335e-05
            262    1.31517e-05    9.97436e-01    4.97436e-01    5.12868e-05    5.12868e-05
            263    1.26309e-05    9.97487e-01    4.97487e-01    5.02611e-05    5.02611e-05
            264    1.21307e-05    9.97537e-01    4.97537e-01    4.92559e-05    4.92559e-05
            265    1.16503e-05    9.97586e-01    4.97586e-01    4.82707e-05    4.82707e-05
            266    1.11890e-05    9.97635e-01    4.97635e-01    4.73053e-05    4.73053e-05
            267    1.07459e-05    9.97682e-01    4.97682e-01    4.63592e-05    4.63592e-05
            268    1.03203e-05    9.97728e-01    4.97728e-01    4.54320e-05    4.54320e-05
            269    9.91166e-06    9.97774e-01    4.97774e-01    4.45234e-05    4.45234e-05
            270    9.51916e-06    9.97818e-01    4.97818e-01    4.36329e-05    4.36329e-05
            271    9.14220e-06    9.97862e-01    4.97862e-01    4.27603e-05    4.27603e-05
            272    8.78017e-06    9.97905e-01    4.97905e-01    4.19051e-05    4.19051e-05
            273    8.43248e-06    9.97947e-01    4.97947e-01    4.10670e-05    4.10670e-05
            274    8.09855e-06    9.97988e-01    4.97988e-01    4.02456e-05    4.02456e-05
            275    7.77785e-06    9.98028e-01    4.98028e-01    3.94407e-05    3.94407e-05
            276    7.46985e-06    9.98067e-01    4.98067e-01    3.86519e-05    3.86519e-05
            277    7.17404e-06    9.98106e-01    4.98106e-01    3.78789e-05    3.78789e-05
