     count_list      y_history   x[0]_history   x[1]_history  dx[0]_history  dx[1]_history
            243    2.56269e-06    1.00113e+00    5.01132e-01   -2.99797e-05   -2.99797e-05
            244    2.42875e-06    1.00110e+00    5.01102e-01   -2.91857e-05   -2.91857e-05
            245    2.30180e-06    1.00107e+00    5.01073e-01   -2.84127e-05   -2.84127e-05
            246    2.18149e-06    1.00104e+00    5.01044e-01   -2.76602e-05   -2.76602e-05
            247    2.06747e-06    1.00102e+00    5.01017e-01   -2.69277e-05   -2.69277e-05
            248    1.95941e-06    1.00099e+00    5.00990e-01   -2.62145e-05   -2.62145e-05
            249    1.85699e-06    1.00096e+00    5.00964e-01   -2.55202e-05   -2.55202e-05
            250    1.75993e-06    1.00094e+00    5.00938e-01   -2.48443e-05   -2.48443e-05
            251    1.66794e-06    1.00091e+00    5.00913e-01   -2.41863e-05   -2.41863e-05
            252    1.58076e-06    1.00089e+00    5.00889e-01   -2.35458e-05   -2.35458e-05
            253    1.49814e-06    1.00087e+00    5.00865e-01   -2.29222e-05   -2.29222e-05
            254    1.41984e-06    1.00084e+00    5.00843e-01   -2.23151e-05   -2.23151e-05
            255    1.34562e-06    1.00082e+00    5.00820e-01   -2.17241e-05   -2.17241e-05
            256    1.27529e-06    1.00080e+00    5.00799e-01   -2.11487e-05   -2.11487e-05
            257    1.20863e-06    1.00078e+00    5.00777e-01   -2.05886e-05   -2.05886e-05
            258    1.14546e-06    1.00076e+00    5.00757e-01   -2.00433e-05   -2.00433e-05
            259    1.08559e-06    1.00074e+00    5.00737e-01   -1.95125e-05   -1.95125e-05
            260    1.02885e-06    1.00072e+00    5.00717e-01   -1.89957e-05   -1.89957e-05
            261    9.75073e-07    1.00070e+00    5.00698e-01   -1.84926e-05   -1.84926e-05
            262    9.24108e-07    1.00068e+00    5.00680e-01   -1.80028e-05   -1.80028e-05
            263    8.75807e-07    1.00066e+00    5.00662e-01   -1.75260e-05   -1.75260e-05
            264    8.30030e-07    1.00064e+00    5.00644e-01   -1.70619e-05   -1.70619e-05
            265    7.86646e-07    1.00063e+00    5.00627e-01   -1.66100e-05   -1.66100e-05
            266    7.45530e-07    1.00061e+00    5.00611e-01   -1.61701e-05   -1.61701e-05
            267    7.06563e-07    1.00059e+00    5.00594e-01   -1.57418e-05   -1.57418e-05
            268    6.69632e-07    1.00058e+00    5.00579e-01   -1.53249e-05   -1.53249e-05
            269    6.34632e-07    1.00056e+00    5.00563e-01   -1.49190e-05   -1.49190e-05
            270    6.01461e-07    1.00055e+00    5.00548e-01   -1.45239e-05   -1.45239e-05
            271    5.70024e-07    1.00053e+00    5.00534e-01   -1.41392e-05   -1.41392e-05
            272    5.40230e-07    1.00052e+00    5.00520e-01   -1.37648e-05   -1.37648e-05
            273    5.11993e-07    1.00051e+00    5.00506e-01   -1.34002e-05   -1.34002e-05
            274    4.85232e-07    1.00049e+00    5.00493e-01   -1.30453e-05   -1.30453e-05
            275    4.59870e-07    1.00048e+00    5.00480e-01   -1.26998e-05   -1.26998e-05
            276    4.35834e-07    1.00047e+00    5.00467e-01   -1.23635e-05   -1.23635e-05
            277    4.13054e-07    1.00045e+00    5.00454e-01   -1.20360e-05   -1.20360e-05
            278    3.91464e-07    1.00044e+00    5.00442e-01   -1.17173e-05   -1.17173e-05
            279    3.71003e-07    1.00043e+00    5.00431e-01   -1.14069e-05   -1.14069e-05
            280    3.51612e-07    1.00042e+00    5.00419e-01   -1.11048e-05   -1.11048e-05
            281    3.33234e-07    1.00041e+00    5.00408e-01   -1.08107e-05   -1.08107e-05
            282    3.15816e-07    1.00040e+00    5.00397e-01   -1.05244e-05   -1.05244e-05
            283    2.99309e-07    1.00039e+00    5.00387e-01   -1.02457e-05   -1.02457e-05
            284    2.83665e-07    1.00038e+00    5.00377e-01   -9.97431e-06   -9.97431e-06
